word,review_flag,candidate_source,df_total,neg_count,neu_count,pos_count,pmi_neg,pmi_neu,pmi_pos,delta_pmi_pos_minus_neg,fisher_odds_ratio,fisher_p_value,bootstrap_ci_low,bootstrap_ci_high,bootstrap_ci_excludes_zero,direction,direction_stability,dominant_share,wilson_lower,wilson_upper,score_minus9_to9,bh_adjusted_p_value,survives_fdr,statistical_keep,statistical_reject_reasons
chake,,deterministic,10,4,2,4,-0.18211128121783915,0.38794434926148647,0.36807235547030537,0.5501836366881445,1.4651607963246553,0.7226326842781423,-1.604474452575744,2.799950733421694,False,POS,0.7205,0.4,0.16818032970623614,0.6873262302663417,0,0.9880587202066854,False,False,fails_bh_fdr;bootstrap_ci_includes_zero;wilson_lower_not_above_threshold
chibaba,,deterministic,10,4,2,4,-0.18211128121783915,0.38794434926148647,0.36807235547030537,0.5501836366881445,1.4651607963246553,0.7226326842781423,-1.7732315347617662,2.863956765764266,False,POS,0.718,0.4,0.16818032970623614,0.6873262302663417,0,0.9880587202066854,False,False,fails_bh_fdr;bootstrap_ci_includes_zero;wilson_lower_not_above_threshold
eke,,rag_recovered,10,7,0,3,0.5548543129483665,-1.933983745625877,0.005502276085598723,-0.5493520368627678,0.6271937018205674,0.7491572638903632,-3.5372331291040027,1.2100416381019234,False,NEG,0.743,0.7,0.39677814746114537,0.8922087325936989,-4,0.9880587202066854,False,False,fails_bh_fdr;bootstrap_ci_includes_zero;wilson_lower_not_above_threshold
handisati,,deterministic,10,6,1,3,0.3484034354809413,-0.3490212449047192,0.005502276085598723,-0.3429011593953426,0.7319173363949484,0.746744558012466,-2.929142710393348,1.4335724600106285,False,NEG,0.6605,0.6,0.31267376973365824,0.8318196702937638,-3,0.9880587202066854,False,False,fails_bh_fdr;bootstrap_ci_includes_zero;wilson_lower_not_above_threshold
hutongi,,deterministic,10,6,1,3,0.3484034354809413,-0.3490212449047192,0.005502276085598723,-0.3429011593953426,0.7319173363949484,0.746744558012466,-2.9802577599630693,1.4561704578036658,False,NEG,0.662,0.6,0.31267376973365824,0.8318196702937638,-3,0.9880587202066854,False,False,fails_bh_fdr;bootstrap_ci_includes_zero;wilson_lower_not_above_threshold
mface,,deterministic,10,7,0,3,0.5548543129483665,-1.933983745625877,0.005502276085598723,-0.5493520368627678,0.6271937018205674,0.7491572638903632,-3.339384603569376,1.1353185308224911,False,NEG,0.724,0.7,0.39677814746114537,0.8922087325936989,-4,0.9880587202066854,False,False,fails_bh_fdr;bootstrap_ci_includes_zero;wilson_lower_not_above_threshold
pfee,,deterministic,10,4,2,4,-0.18211128121783915,0.38794434926148647,0.36807235547030537,0.5501836366881445,1.4651607963246553,0.7226326842781423,-1.778560420924025,2.650606264356042,False,POS,0.732,0.4,0.16818032970623614,0.6873262302663417,0,0.9880587202066854,False,False,fails_bh_fdr;bootstrap_ci_includes_zero;wilson_lower_not_above_threshold
tione,,deterministic,10,6,1,3,0.3484034354809413,-0.3490212449047192,0.005502276085598723,-0.3429011593953426,0.7319173363949484,0.746744558012466,-3.156207224306978,1.4784040660099975,False,NEG,0.6655,0.6,0.31267376973365824,0.8318196702937638,-3,0.9880587202066854,False,False,fails_bh_fdr;bootstrap_ci_includes_zero;wilson_lower_not_above_threshold
vasikana,,deterministic,21,11,4,6,0.13757834147352277,0.20199392389309878,-0.13536025975425225,-0.272938601227775,0.7983281086729362,0.8063779620744413,-1.8797433684017506,1.0617137147092313,False,NEG,0.6685,0.5238095238095238,0.3236953458284443,0.7165599389846583,-2,0.9937608305460478,False,False,fails_bh_fdr;bootstrap_ci_includes_zero;wilson_lower_not_above_threshold
hazvina,,deterministic,18,11,1,6,0.35438973054666967,-1.1661571877549104,0.08145112931889464,-0.272938601227775,0.7983281086729362,0.8063779620744413,-1.939231715854788,1.0982373872449454,False,NEG,0.645,0.6111111111111112,0.3861904160223791,0.7969475342783638,-3,0.9937608305460478,False,False,fails_bh_fdr;bootstrap_ci_includes_zero;wilson_lower_not_above_threshold
